Clade	j	b	Tmin	c	Tmax	topt	resid
2	Clade A1	2	0.141027190621695	254.99843224306	0.033252028098974	297.460271617981	6.5	8.45520665245115e-16
8	Clade A1	8	0.0251869842866274	222.529852619474	0.565714470048256	291.492571777367	12.1	3.33066907387547e-16
13	Clade A1	13	0.0273887864149232	225.258907359358	0.486925264134025	293.729190726609	13.7	8.00593208497344e-16
14	Clade A1	14	0.0299953107245476	229.303719303431	0.19563321661958	297.107370318926	11.5	2.9373740229761e-16
15	Clade A1	15	0.0504011709586377	246.697620209213	0.234713100404361	292.027841711199	9.5	1.35519990959551e-15
18	Clade A1	18	0.0998904614629723	259.527012066297	0.115110977864269	294.113054658685	9.80000000000001	2.60843349685807e-15
22	Clade A1	22	0.0458879326423466	249.020670961707	0.311229277094049	293.270096966939	12.2	1.58959746069124e-15
23	Clade A1	23	0.014274162039288	177.671007339371	0.204517127291543	298.142618096468	9.89999999999998	4.96506830649455e-16
24	Clade A1	24	0.0607978528369618	250.154858353972	0.139341919641196	293.595479461621	8.5	1.18539381111297e-15
27	Clade A1	27	0.0891467646872934	253.61710712713	0.0572588585739228	295.81608921259	6.80000000000001	1.6364024549835e-15
34	Clade A1	34	0.0955408542921557	256.254345401321	0.062425410526459	296.641437106876	8.5	1.19058155498437e-15
37	Clade A1	37	0.288106787399448	262.023266951241	0.0278746125502517	293.548925225126	6.39999999999998	3.15633496579915e-15
38	Clade A1	38	0.0400604408762214	244.009143564856	0.253796205366123	291.709325784455	9.39999999999998	1.30109423132904e-14
44	Clade A1	44	0.0829808735112577	258.78820609817	0.132605115563206	292.869580241474	9.19999999999999	3.13822168809321e-15
45	Clade A1	45	0.0357410401377014	233.011016282008	0.109495565020221	297.389663767464	7.69999999999999	7.7715611723761e-16
49	Clade A1	49	0.0649225468737147	252.83653067324	0.135486952405779	293.801962118592	9	2.28878339926112e-16
54	Clade A1	54	0.0578620066033801	250.672538055749	0.119147222944027	294.583234273318	8.60000000000002	1.67731883157642e-15
55	Clade A1	55	0.0429040219362639	239.791880623373	0.107067516611692	296.852736596925	8.10000000000002	3.5108334685767e-16
56	Clade A1	56	0.0519148917183926	248.794884024465	0.188190385891663	294.618045667825	10.8	3.19466554764295e-15
59	Clade A1	59	0.00919160350889267	126.196223543507	0.423390619586654	292.157938876241	9.19999999999999	3.61675492427647e-15
60	Clade A1	60	0.018116367436964	199.834169355138	0.549374737647762	292.295450824721	12.3	1.55827227206398e-15
61	Clade A1	61	0.0330265120339898	236.763630546876	0.285841951938647	292.413660478527	10.1	7.83336892863683e-15
68	Clade A1	68	0.0595492327748713	250.369625996101	0.12527325930249	294.558451573245	8.80000000000001	3.33066907387547e-16
70	Clade A1	70	0.0462502638374198	239.43821695535	0.072440335000346	302.210225883113	9.60000000000002	1.15910686703364e-15
72	Clade A1	72	0.0379766595339626	236.234325122023	0.213235917488967	294.257903768111	10	2.59421849458883e-15
77	Clade A1	77	0.0895479681255039	253.529190674553	0.0557886030512321	297.994857489809	8.19999999999999	1.76940433976971e-15
81	Clade A1	81	0.0655798813037985	254.426574129087	0.155140269126905	293.612916597995	9.69999999999999	1.22628141165784e-15
82	Clade A1	82	0.0425104207469419	240.554366441864	0.170018252371528	293.517288558489	8.30000000000001	2.71947991102104e-16
84	Clade A1	84	0.0438995924022792	244.873452635057	0.175076658755205	295.725396867684	11	1.30421674842904e-15
86	Clade A1	86	0.0865243124238404	257.2317838247	0.116026813706226	293.707047133545	9	1.24791487914519e-14
88	Clade A1	88	0.0526518002964459	246.352055068364	0.0966588116831528	299.129629092779	10.4	2.9373740229761e-16
89	Clade A1	89	0.0382206198352787	237.698078581424	0.184167374049562	293.987635812405	9	1.26584900905684e-15
91	Clade A1	91	0.0236475877095284	216.265229333595	0.88594364770216	290.976220532154	13.3	1.21024494787866e-14
97	Clade A1	97	0.0605454619407077	253.376377002424	0.293316402910017	292.766611790431	11.8	7.61130558624262e-16
103	Clade A1	103	0.0303242614616356	231.392383750604	0.256542109090365	293.383654982516	10	2.68756537844754e-15
104	Clade A1	104	0.386764068633037	264.862673987454	0.0232565780419146	292.493135799222	6.69999999999999	1.59056643210747e-15
105	Clade A1	105	0.0597161976847003	248.470626438429	0.124342724501474	292.135316741978	6.39999999999998	1.45180499073994e-15
109	Clade A1	109	0.0302603934990242	227.554278353912	0.258082449653079	293.009831903534	9.5	9.55049957678547e-16
111	Clade A1	111	0.0375368070270612	242.686561392749	0.66464928846153	291.895635863924	13.8	2.77999490662071e-15
